Discriminator ID,Birth,Death
199,199.0,74139.0,92592.0
200,200.0,74167.0,80030.0
201,201.0,74184.0,80020.0
202,202.0,74196.0,80011.0
203,203.0,74222.0,80027.0
204,204.0,74244.0,79971.0
205,205.0,74302.0,92599.0
206,206.0,74356.0,77466.0
207,207.0,74384.0,76114.0
208,208.0,74389.0,92425.0
209,209.0,74423.0,76193.0
210,210.0,74484.0,76232.0
211,211.0,74485.0,75645.0
212,212.0,74487.0,75761.0
213,213.0,74553.0,76142.0
214,214.0,74646.0,75790.0
215,215.0,74699.0,76299.0
216,216.0,74768.0,79938.0
217,217.0,74803.0,76116.0
218,218.0,74927.0,76125.0
219,219.0,75028.0,76262.0
220,220.0,75090.0,76099.0
221,221.0,75114.0,76264.0
222,222.0,75350.0,76351.0
223,223.0,75355.0,76356.0
224,224.0,76102.0,77490.0
225,225.0,76125.0,80010.0
226,226.0,76317.0,77324.0
227,227.0,76324.0,77325.0
228,228.0,76409.0,88249.0
229,229.0,76490.0,77494.0
230,230.0,76494.0,78271.0
231,231.0,76740.0,92617.0
232,232.0,76816.0,77820.0
233,233.0,76820.0,77821.0
234,234.0,76834.0,78284.0
235,235.0,76858.0,80000.0
236,236.0,76876.0,79967.0
237,237.0,76903.0,77904.0
238,238.0,77016.0,79947.0
239,239.0,77078.0,78296.0
240,240.0,77318.0,78456.0
241,241.0,77844.0,83263.0
242,242.0,78172.0,79536.0
243,243.0,78173.0,79992.0
244,244.0,78186.0,79660.0
245,245.0,78281.0,80008.0
246,246.0,78529.0,88245.0
247,247.0,78536.0,92441.0
248,248.0,78737.0,82929.0
249,249.0,78933.0,79934.0
250,250.0,78968.0,79969.0
251,251.0,80129.0,81130.0
252,252.0,81929.0,84375.0
253,253.0,81951.0,84348.0
254,254.0,81980.0,84372.0
255,255.0,82521.0,92457.0
256,256.0,82531.0,84359.0
257,257.0,82584.0,84361.0
258,258.0,82658.0,84062.0
259,259.0,82873.0,84020.0
260,260.0,82891.0,83892.0
261,261.0,82907.0,83908.0
262,262.0,83020.0,84404.0
263,263.0,83122.0,84387.0
264,264.0,83133.0,84134.0
265,265.0,85457.0,88187.0
266,266.0,85482.0,88230.0
267,267.0,85500.0,88237.0
268,268.0,85686.0,86687.0
269,269.0,86125.0,88182.0
270,270.0,86142.0,88240.0
271,271.0,86158.0,87159.0
272,272.0,86163.0,87164.0
273,273.0,86165.0,88221.0
274,274.0,86168.0,87321.0
275,275.0,86219.0,87220.0
276,276.0,86244.0,87245.0
277,277.0,86300.0,87301.0
278,278.0,86343.0,92283.0
279,279.0,86360.0,88228.0
280,280.0,86449.0,88239.0
281,281.0,86728.0,88206.0
282,282.0,86890.0,87891.0
283,283.0,87132.0,88208.0
284,284.0,87173.0,92423.0
285,285.0,87180.0,88218.0
286,286.0,87233.0,88234.0
287,287.0,89822.0,90823.0
288,288.0,90454.0,92259.0
289,289.0,90458.0,92619.0
290,290.0,90466.0,91467.0
291,291.0,90494.0,92461.0
292,292.0,90499.0,92271.0
293,293.0,90963.0,92273.0
294,294.0,91019.0,92614.0
295,295.0,91283.0,92444.0
296,296.0,91360.0,92391.0
297,297.0,91617.0,92618.0
298,298.0,91619.0,93113.0
299,299.0,91622.0,92631.0
300,300.0,91657.0,93097.0
301,301.0,92113.0,93154.0
302,302.0,92154.0,108807.0
303,303.0,92239.0,95729.0
304,304.0,103649.0,108728.0
305,305.0,103730.0,108594.0
306,306.0,103783.0,105500.0
307,307.0,103785.0,109133.0
308,308.0,103874.0,109110.0
309,309.0,103938.0,105525.0
310,310.0,104054.0,109092.0
311,311.0,104059.0,105063.0
312,312.0,104163.0,108763.0
313,313.0,104278.0,105470.0
314,314.0,104311.0,105509.0
315,315.0,104345.0,109108.0
316,316.0,104400.0,105514.0
317,317.0,104409.0,105522.0
318,318.0,104438.0,105527.0
319,319.0,104510.0,105529.0
320,320.0,104527.0,105530.0
321,321.0,104814.0,106127.0
322,322.0,105127.0,108733.0
323,323.0,106191.0,107192.0
324,324.0,107146.0,108735.0
325,325.0,107178.0,109114.0
326,326.0,107354.0,108782.0
327,327.0,107359.0,108421.0
328,328.0,107390.0,108391.0
329,329.0,107398.0,108774.0
330,330.0,107412.0,109125.0
331,331.0,107847.0,109123.0
332,332.0,108133.0,129693.0
333,333.0,128693.0,129716.0
334,334.0,128705.0,129706.0
335,335.0,128708.0,137373.0
336,336.0,128774.0,132765.0
